idWeek,Date
310,2013-06-23
311,2013-06-30
312,2013-07-07
313,2013-07-14
314,2013-07-21
315,2013-07-28
316,2013-08-04
317,2013-08-11
318,2013-08-18
319,2013-08-25
320,2013-09-01
321,2013-09-08
322,2014-04-06
323,2014-04-13
324,2014-04-20
325,2014-04-27
326,2014-05-04
327,2014-05-11
328,2014-05-18
329,2014-05-25
330,2014-06-01
331,2014-06-08
332,2014-06-15
333,2014-06-22
334,2014-06-29
335,2014-07-06
336,2014-07-13
337,2014-07-20
338,2014-07-27
339,2014-08-03
340,2014-08-10
341,2014-08-17
342,2014-08-24
343,2014-08-31
344,2014-09-07
345,2015-04-05
346,2015-04-12
347,2015-04-19
348,2015-04-26
349,2015-05-03
350,2015-05-10
351,2015-05-17
352,2015-05-24
353,2015-05-31
354,2015-06-07
355,2015-06-14
356,2015-06-21
357,2015-06-28
358,2015-07-05
359,2015-07-12
360,2015-07-19
361,2015-07-26
362,2015-08-02
363,2015-08-09
364,2015-08-16
365,2015-08-23
366,2015-08-30
367,2015-09-06
368,2016-04-03
369,2016-04-10
370,2016-04-17
371,2016-04-24
372,2016-05-01
373,2016-05-08
374,2016-05-15
375,2016-05-22
376,2016-05-29
377,2016-06-05
378,2016-06-12
379,2016-06-19
380,2016-06-26
381,2016-07-03
382,2016-07-10
383,2016-07-17
384,2016-07-24
385,2016-07-31
386,2016-08-07
387,2016-08-14
388,2016-08-21
389,2016-08-28
390,2016-09-04
391,2017-04-02
392,2017-04-09
393,2017-04-16
394,2017-04-23
395,2017-04-30
396,2017-05-07
397,2017-05-14
398,2017-05-21
399,2017-05-28
400,2017-06-04
401,2017-06-11
402,2017-06-18
403,2017-06-25
404,2017-07-02
405,2017-07-09
406,2017-07-16
407,2017-07-23
408,2017-07-30
409,2017-08-06
410,2017-08-13
411,2017-08-20
412,2017-08-27
413,2017-09-03
414,2018-04-01
415,2018-04-08
416,2018-04-15
417,2018-04-22
418,2018-04-29
419,2018-05-06
420,2018-05-13
421,2018-05-20
422,2018-05-27
423,2018-06-03
424,2018-06-10
425,2018-06-17
426,2018-06-24
427,2018-07-01
428,2018-07-08
429,2018-07-15
430,2018-07-22
431,2018-07-29
432,2018-08-05
433,2018-08-12
434,2018-08-19
435,2018-08-26
436,2018-09-02
