Measures,Total_Mean_Error_Dataset
Train_MAE,0.08914664034679493
Train_MSE,0.015318989775269316
Train_RMSE,0.12092551424331277
Train_MAPE,116.20300875464324
Test_MAE,0.11703803331467524
Test_MSE,0.023328798431932873
Test_RMSE,0.15076057714802238
Test_MAPE,119.03878257038873
