BirthMean_ALL,BirthSTD_ALL,DeathMean_ALL,DeathSTD_ALL,LifeMean_ALL,LifeSTD_ALL,NumBar_ALL,NumPrev_ALL,NumNext_ALL,DistQ0_ALL,DistQ1_ALL,DistQ2_ALL,DistQ3_ALL,DistQ4_ALL,CosSimQ0_ALL,CosSimQ1_ALL,CosSimQ2_ALL,CosSimQ3_ALL,CosSimQ4_ALL
7.1,7.4289972405433025,11.45,7.544700126578921,4.35,6.656012319700137,10,2,1,0.0,7.826237921249264,14.089002803605371,19.79898987322333,28.284271247461902,0.7237375449666366,0.7893522173763263,0.9756406549299155,0.9985933097131318,1.0
6.35,7.200868003234055,10.55,7.689115683874187,4.2,6.581033353509159,10,3,1,0.0,7.433034373659253,13.729530217745982,19.79898987322333,27.932955446926844,0.7245580616896932,0.7633862853691145,0.9397934234884371,0.9983099721053171,1.0
6.333333333333333,6.996030620605119,10.777777777777779,7.457699642022149,4.444444444444445,6.755427630367733,9,3,1,0.0,7.050885904612846,13.860963244829096,19.587872575244567,26.51886121235224,0.7254636985092164,0.773957299203321,0.9168399929482484,0.9973369425677039,1.0
8.055555555555555,7.970237848271825,12.38888888888889,7.501028736031174,4.333333333333333,6.67915496983796,9,2,2,0.0,8.206202556234246,16.203929620750518,19.88815349760409,29.34706118165838,0.7151872024010241,0.7893522173763263,0.9476666020503288,0.9953783849033284,1.0
7.333333333333333,7.699206308300732,11.555555555555555,7.718824192425958,4.222222222222222,6.616944205392997,9,3,1,0.0,8.219510903248338,16.033691777605917,19.79898987322333,29.34706118165838,0.7237375449666366,0.7853441241232408,0.9018805381655284,0.9947823608072284,1.0
9.055555555555555,8.271250222724106,13.166666666666666,7.494442385305705,4.111111111111111,6.569194850790644,9,2,2,0.0,8.57674395028197,16.168566392734615,19.617952880011792,27.932955446926844,0.7151872024010241,0.813733471206735,0.9765728269831007,0.996815278536125,1.0
9.6,8.593020423576334,13.35,7.909013844974606,3.75,6.245998719180144,10,2,3,0.0,8.845903006477066,16.224980739587952,20.506096654409877,29.34706118165838,0.7151872024010241,0.8253072612498318,0.9486832980505138,0.999707064432259,1.0
10.045454545454545,8.674556696702,13.454545454545455,8.261230772971878,3.409090909090909,6.0030983735604915,11,4,3,0.0,9.10350581159595,15.620499351813308,21.5,30.405591591021544,0.7151872024010241,0.7318939744313496,0.8395701571521512,0.9998157707297062,1.0
12.5,7.896201618499872,16.25,6.380634764660958,3.75,6.18162599968649,10,2,3,1.118033988749895,6.020797289396148,12.727922061357855,19.557607215607945,28.36370920736567,0.7151872024010241,0.7359310117618296,0.9874220094737075,0.9998614288197583,1.0
11.7,7.583534795858723,15.45,6.566772418776214,3.75,6.169481339626533,10,2,1,1.4142135623730951,5.656854249492381,12.727922061357855,19.5,27.95084971874737,0.7237375449666366,0.7384854939281259,0.9821455887195242,0.9998614288197583,1.0
11.863636363636363,7.580150241647616,15.227272727272727,6.712822317853674,3.3636363636363638,5.977575173820711,11,2,2,1.4142135623730951,5.521009528313442,12.727922061357855,19.112880959101208,29.706901555025897,0.7151872024010241,0.760273732193345,0.9965827101894817,0.9998307687890706,1.0
11.045454545454545,7.300232080540458,14.409090909090908,6.9046038060853485,3.3636363636363638,5.977575173820711,11,2,2,1.4142135623730951,5.656854249492381,12.727922061357855,18.25736150008461,29.706901555025897,0.7254636985092164,0.7640322841406035,0.9963024428086514,0.9998481324935755,1.0
12.181818181818182,6.9028081481798775,15.636363636363637,5.897190814627947,3.4545454545454546,5.956106665563525,11,1,3,1.4142135623730951,5.656854249492381,11.313708498984761,16.87672859091689,27.98660393831306,0.7151872024010241,0.8272595536518089,0.9987035991709777,0.999738295656865,0.9999986672246552
12.166666666666666,6.977145229644827,15.458333333333334,6.209731386210589,3.2916666666666665,5.742597892553121,12,2,3,1.118033988749895,6.380439538187339,11.313708498984761,17.336213919572767,29.025850547399983,0.7151872024010241,0.7653620859054907,0.9985458502944521,0.9997785851722841,1.0
11.333333333333334,6.690582103889683,14.625,6.390504022897307,3.2916666666666665,5.74622460596714,12,2,1,1.4142135623730951,6.798919902340896,11.313708498984761,17.24207710085833,28.64000698323937,0.7237375449666366,0.775562003711193,0.9982750479440589,0.9997850929713026,1.0
11.346153846153847,6.822994535969513,14.346153846153847,6.616949725412689,3.0,5.5987635997739575,13,2,2,1.4142135623730951,6.712855955258741,11.620284470430661,17.62902820519541,30.405591591021544,0.7151872024010241,0.7850332710056398,0.9977015832446102,0.9997170533845002,1.0
12.153846153846153,6.42526448238818,15.192307692307692,5.766409566614293,3.0384615384615383,5.583153018961247,13,1,2,1.118033988749895,5.656854249492381,11.139782299357709,15.361638023068119,25.104780421266383,0.7151872024010241,0.9938994597022407,0.9977924875183699,0.999864288615415,0.99999893285753
11.23076923076923,6.283725574895177,14.307692307692308,5.908072904406899,3.076923076923077,5.567232960837609,13,1,1,1.4142135623730951,5.656854249492381,11.313708498984761,15.066270815917306,25.45584412271571,0.7237375449666366,0.9908678082479165,0.9967538250266907,0.9998527336215896,0.99999929222681
11.107142857142858,6.590519628951259,14.0,6.2048368229954285,2.892857142857143,5.4056140507167285,14,1,2,1.4142135623730951,5.656854249492381,11.313708498984761,16.274063195751573,27.932955446926844,0.7151872024010241,0.9858325478289511,0.9956001436530537,0.999780434248118,0.9999991354880429
